OBJECTID,Trail ID,Trail Name,Abbreviated Park Name,Park Name,Full Park Name,Full Blaze Color,Abbreviated Blaze Color,Base Color,Cap Color,Dot Color,Dash Color,Blaze Image Link,Mileage,Track,Track (Number Format),Difficulty,Configuration,Surface,Service Road,Shape__Length,GlobalID,Trail Status
26884,HA42534,Red,HA,Hartwood Acres,Hartwood Acres,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,1.38197073,,,Moderate-Difficult,Point to Point,Dirt,,0.0225659809846433,e462b193-abd7-42d0-ba20-683a29234a78,Active
26886,HA42965,Red with White Dot,HA,Hartwood Acres,Hartwood Acres,Red with White Dot,RD/WT Dot,Red,,White,,https://apps.alleghenycounty.us/GIS/Redbase_WHITEdot.png,0.18642651,,,Easy-Moderate,Connector Trail,Dirt,No,0.0030935828016602,cf1f7a59-176a-4dcf-b712-19a3d842c94e,Active
27056,NP4719,Red with Green Cap,NP,North Park,North Park,Red with Green Cap,RD/GN Cap,Red,Green, , ,https://apps.alleghenycounty.us/GIS/REDbase_GREENcap.png,0.05574012,,,Moderate,Access Trail,,,0.000946103527176026,292aca54-4071-4d8b-908c-0100e3bfd2ad,Active
27066,NP4735,Red with White Cap,NP,North Park,North Park,Red with White Cap,RD/WT Cap,Red,White, , ,https://apps.alleghenycounty.us/GIS/REDbase_WHITEcap.png,0.13281085,,,Easy,Connector Trail,,,0.00217368615149132,240f910d-7457-4120-b438-33fc46a96324,Active
27068,NP4744,Red with Red Cap,NP,North Park,North Park,Red with Red Cap,RD/RD Cap,Red,Red, , ,https://apps.alleghenycounty.us/GIS/REDbase_REDcap.png,0.35468126,,,Moderate,Access Trail,,No,0.00558977871077693,a7a9531f-438a-480a-9012-981804225a90,Active
27074,NP6594,Red with Blue Cap,NP,North Park,North Park,Red with Blue Cap,RD/BL Cap,Red,Blue, , ,https://apps.alleghenycounty.us/GIS/REDbase_BLUEcap.png,0.02963726,,,Easy,Access Trail,,,0.00046887674614663,81ceaee8-ed50-46ab-8a48-9d0603ad4634,Active
27091,NP4749,Red,NP,North Park,North Park,Red,RD,Red, , , ,https://apps.alleghenycounty.us/GIS/REDbase.png,0.28719069,,,Difficult,Connector Trail,,,0.00498850655358086,dcc674c8-5d22-44ae-8757-8a9a87ec9480,Active
27093,NP4732,Red Access,NP,North Park,North Park,Red,RD,Red, ,, ,https://apps.alleghenycounty.us/GIS/REDbase.png,0.14178064,,,Moderate,Access Trail,Dirt,No,0.00221874796296987,301802c8-59ca-4316-b047-ff5464fab916,Active
27111,NP32829,NC Red Trail,NP,North Park,North Park,Red,RD,Red, , , ,https://apps.alleghenycounty.us/GIS/REDbase.png,0.41014986,,,Easy,Complete Loop,Dirt,No,0.00702302008078824,6e07ccf4-78a6-4571-a604-df8d20ba4d81,Active
27128,NP42550,Red,NP,North Park,North Park,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,9.40909406,,,Difficult,Complete Loop,Dirt,No,0.155504101877523,d92a70b2-2a8a-4c6d-8b0c-cf0791d29749,Active
27318,SC13239,Red,SC,Settlers Cabin,Settlers Cabin,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,0.25563347,,,Easy-Moderate,Access Trail,Dirt,,0.00453434070036217,6d4ce9fa-eeed-418e-9064-b6cfe435b024,Active
27362,SC30409,Red,SC,Settlers Cabin,Settlers Cabin,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,6.59268313,,,Moderate,Complete Loop,Dirt,No,0.106788114052694,cc2868ca-e671-4406-a36c-4666041d4156,Active
27580,RH2174,Red Loop Trail,RH,Round Hill,Round Hill,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,1.73065927,,,Moderate-Difficult,Complete Loop,Dirt,No,0.0292030258460703,846bfc1f-8c4a-47aa-a3b7-e87205b1ece2,Active
27623,WO12804,Red,WO,White Oak,White Oak Park,Red,RD,Red,,,,https://apps.alleghenycounty.us/GIS/REDbase.png,1.04016371,,,Moderate-Difficult,Complete Loop,Dirt,No,0.0180061039387268,e0bf8b34-7bc6-48b8-bbd2-243d86e928a2,Active
27691,SP6217,Red,SP,South Park,South Park,Red,RD,Red, , , ,https://apps.alleghenycounty.us/GIS/REDbase.png,2.245684,,,Easy-Moderate,Complete Loop,,,0.0384928768493609,c5d4b7d8-21af-43bf-916e-3bd292fa2a3d,Active
26736,HH4766,White,HH,Harrison Hills,Harrison Hills,White,WT,White, , , ,https://apps.alleghenycounty.us/GIS/WHITEbase.png,1.2760578,,,Easy-Moderate,Complete Loop,,,0.022024322697851,f870b1fb-6042-4f60-a2a0-60f0600df253,Active
26874,DL66792,White,DL,Deer Lakes,Deer Lakes,White,WT,White,,,,https://apps.alleghenycounty.us/GIS/WHITEbase.png,5.33079451,,,Moderate-Difficult,Point to Point,Dirt,No,0.0902253063754127,b8767de9-e722-4ee3-ba8e-0025bb7b2f09,Active
26960,HA17700,White,HA,Hartwood Acres,Hartwood Acres,White,WT,White,,,,https://apps.alleghenycounty.us/GIS/WHITEbase.png,0.94979757,,,Easy-Moderate,Complete Loop,Dirt,No,0.0164195038141329,17a39c61-a483-4481-bb8a-b2f2ea09f5e5,Active
27057,NP4721,White with Red Dot,NP,North Park,North Park,White with Red Dot,WT/RD Dot,White, ,Red, ,https://apps.alleghenycounty.us/GIS/WHITEbase_REDdot.png,0.62238222,,,Easy,Connector Trail,,,0.0105026895163322,3907bab9-9432-48e4-a2ba-db0221ab89a7,Active
27058,NP4723,White with Black Dash,NP,North Park,North Park,White with Black Dash,WT/BK Dash,White, , ,Black,https://apps.alleghenycounty.us/GIS/WHITEbase_BLACKdash.png,0.04451319,,,Easy-Moderate,Connector Trail,,,0.000817709925252949,eb0774fb-543d-4cc2-b398-1a8c383c26dd,Active
27059,NP4724,White with Black Dot,NP,North Park,North Park,White with Black Dot,WT/BK Dot,White, ,Black, ,https://apps.alleghenycounty.us/GIS/WHITEbase_BLACKdot.png,0.36554479,,,Moderate,Connector Trail,,,0.00618326441495905,f8cf37f4-9265-4207-ae6d-a2a614abcd24,Active
27065,NP4734,White with Green Dot,NP,North Park,North Park,White with Green Dot,WT/GN Dot,White, ,Green, ,https://apps.alleghenycounty.us/GIS/WHITEbase_GREENdot.png,0.97201152,,,Moderate,Access Trail,,,0.0168558793631433,d0fc59ac-47d7-4e2c-a8f4-d65b9fdbd10b,Active
27115,NP32836,NC White Trail,NP,North Park,North Park,White,WT,White,,,,https://apps.alleghenycounty.us/GIS/WHITEbase.png,1.1111701,,,Moderate,Complete Loop,,,0.0189285150096986,72823e8d-78d4-4732-97fd-b5a425625b30,Active
27123,NP41658,White,NP,North Park,North Park,White,WT,White, , , ,https://apps.alleghenycounty.us/GIS/WHITEbase.png,2.41809871,,,Easy-Moderate,Point to Point,Dirt,No,0.0409254275497125,a90d6e74-1a85-40f0-b089-882aeba1a305,Active
27233,BP5113,White,BP,Boyce,Boyce Park,White,WT,White, , , ,https://apps.alleghenycounty.us/GIS/WHITEbase.png,1.77300457,,,Moderate,Complete Loop,,,0.028913015038048,3a4d7655-707e-420e-92a3-13b3dc0ea55e,Active
27234,BP5114,White with Red Dot,BP,Boyce,Boyce Park,White with Red Dot,WT/RD Dot,White, ,Red, ,https://apps.alleghenycounty.us/GIS/WHITEbase_REDdot.png,1.81099175,,,Easy-Moderate,Point to Point,,,0.0295696540440665,07bff44a-01af-4e0d-bed1-d8516e7a3079,Active
27235,BP5115,White with Black Dot,BP,Boyce,Boyce Park,White with Black Dot,WT/BK Dot,White, ,Black, ,https://apps.alleghenycounty.us/GIS/WHITEbase_BLACKdot.png,0.4088513,,,Easy-Moderate,Access Trail,,,0.0067962308797873,d7c290aa-f516-4b24-9439-719becac32b6,Active
27236,BP13176,White with White Cap,BP,Boyce,Boyce Park,White with White Cap,WT/WT Cap,White,White,,,https://apps.alleghenycounty.us/GIS/WHITEbase_WHITEcap.png,0.10070751,,,Easy-Moderate,Connector Trail,Dirt,No,0.00163157563391326,8c5c7975-5d49-4e09-9563-d72fe6cc5437,Active
27251,BP5135,White with Red Dot and Red Cap,BP,Boyce,Boyce Park,White with Red Dot and Red Cap,WT/RD Dot/RD Cap,White,Red,Red, ,https://apps.alleghenycounty.us/GIS/WHITEbase_REDdot_REDcap.png,0.07014328,,,Easy-Moderate,Connector Trail,,,0.00116591504574803,915442ae-2770-49fb-855b-a5ce658f6f98,Active
27637,WO42930,White,WO,White Oak,White Oak Park,White,WT,White,,,,https://apps.alleghenycounty.us/GIS/WHITEbase.png,0.64630365,,,Moderate,Connector Trail,Dirt,No,0.0106808108917661,9f46396e-46bf-4c73-b448-c1023e88f8f4,Active
26728,HH25186,Yellow,HH,Harrison Hills,Harrison Hills,Yellow,YL,Yellow,,,,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,3.11126507,,,Moderate-Difficult,Point to Point,,,0.0506664138971839,c1b8dd17-e326-46d9-9d2a-0ed7142253c4,Active
26876,DL68049,Yellow,DL,Deer Lakes,Deer Lakes,Yellow,YL,Yellow,,,,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,1.38025072,Single,1,Moderate-Difficult,Complete Loop,Dirt,No,0.0231663843852468,335168b6-e0b3-484b-8c3d-97c2fe565c3b,Active
26878,DL68057,Yellow Access,DL,Deer Lakes,Deer Lakes,Yellow,YL,Yellow,,,,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,0.32635488,Single,1,Moderate,Access Trail,Dirt,No,0.00537366195281655,9cca0ec5-9599-4d6a-a25f-1a615e8caa6e,Active
26885,HA295,Yellow,HA,Hartwood Acres,Hartwood Acres,Yellow,YL,Yellow, , , ,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,0.77879806,,,Easy-Moderate,Complete Loop,,No,0.0126024379789571,16a3befc-6932-4091-ba2a-cc694d309cf9,Active
26959,HA288,Yellow with Black Dot,HA,Hartwood Acres,Hartwood Acres,Yellow with Black Dot,YL/BK Dot,Yellow, ,Black, ,https://apps.alleghenycounty.us/GIS/YELLOWbase_BLACKdot.png,0.04572401,,,Easy,Connector Trail,Dirt,,0.000830316427655088,dc99ae15-e7de-473e-9d7c-de6efe120212,Active
27153,NP68059,Rachel Carson Trail,NP,North Park,North Park,Yellow - Rachel Carson Trail,YL,Yellow,,,,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,8.94903179,,,Moderate-Difficult,Point to Point,,No,0.150253464148405,48d3441f-9a34-4199-92fc-f70b124e298d,Active
27262,BP24780,Yellow Loop West Accress,BP,Boyce,Boyce Park,Yellow,YL,Yellow,,,,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,0.09452337,,,Easy-Moderate,Access Trail,Dirt,No,0.00164101022285109,44b345e9-a556-42a8-8460-2a479f763861,Active
27266,BP13199,Yellow Loop East,BP,Boyce,Boyce Park,Yellow Loop East,YL,Yellow,,,,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,0.76901567,,,Easy-Moderate,Point to Point,Dirt,No,0.0124057350806061,5d09a859-1588-420f-9a61-6c5dfb10e307,Active
27272,BP42071,Yellow Loop West,BP,Boyce,Boyce Park,Yellow Loop West,YL,Yellow,,,,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,0.99925028,,,Moderate,Complete Loop,,No,0.0165871959251237,941a8cb1-2fa9-4dc3-91a6-46cf3be40a67,Active
27284,BP44972,Yellow Loop East Access,BP,Boyce,Boyce Park,Yellow,YL,Yellow,,,,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,0.02158837,,,Easy-Moderate,Access Trail,Dirt,No,0.00036339012142227,feecc4ba-fc0f-4a74-9251-fefd6510b9c2,Active
27360,SC8008,Yellow,SC,Settlers Cabin,Settlers Cabin,Yellow,YL,Yellow, , , ,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,1.52416034,,,Easy-Moderate,Complete Loop,Dirt,,0.024686734643054,6cd83213-f111-4aad-ac03-619f13b1f277,Active
27527,RH6197,Yellow Loop Trail,RH,Round Hill,Round Hill,Yellow,YL,Yellow,,,,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,0.98805524,,,Moderate,Complete Loop,,No,0.0167651433898065,4cbee6d3-bb02-4c22-b891-9594446ff89b,Active
27642,WO45405,Yellow,WO,White Oak,White Oak Park,Yellow,YL,Yellow,,,,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,1.57133552,,,Moderate,Complete Loop,Dirt,No,0.0268912726250767,0ceacbb3-5ce6-46b0-a1f6-92a8f889d4b0,Active
27666,SP2267,Yellow,SP,South Park,South Park,Yellow,YL,Yellow,,,,https://apps.alleghenycounty.us/GIS/YELLOWbase.png,2.43373294,,,Moderate,Complete Loop,,No,0.0411623126840735,736e26ac-a872-4815-acfb-d1c0ef0a9ebf,Active
